URL,ID,Title,Adress,Built_in_Year,Floors,Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,img_URLS
https://www.zameen.com/Property/clifton_clifton_block_5_dunes_marwell-45711162-1667-1.html,45711162,Dunes Marwell,"Clifton - Block 5, Clifton, Karachi, Sindh",,in Building,Flat,4.75 Crore,"Clifton, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,12 hours ago,"https://media.zameen.com/thumbnails/221524820-800x600.jpeg,https://media.zameen.com/thumbnails/221524820-800x600.jpeg,https://media.zameen.com/thumbnails/221524821-800x600.jpeg,https://media.zameen.com/thumbnails/221524826-800x600.jpeg"
https://www.zameen.com/Property/karachi_nazimabad_1200_square_yards_house_for_sale_in_nazimabad_no__4-45892312-278-1.html,45892312,1200 Square Yards House For Sale In Nazimabad No. 4,"Nazimabad, Karachi, Sindh",,,House,20 Crore,"Nazimabad, Karachi, Sindh",6,"1,200 Sq. Yd.",For Sale,10,10 hours ago,"https://media.zameen.com/thumbnails/223077498-800x600.jpeg,https://media.zameen.com/thumbnails/223077498-800x600.jpeg,https://media.zameen.com/thumbnails/223077520-800x600.jpeg,https://media.zameen.com/thumbnails/223077508-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_7_appertment_for_sale_phase_7_sehar_comm-45890006-1484-1.html,45890006,Appertment for sale phase 7 sehar comm,"DHA Phase 7, DHA Defence, Karachi, Sindh",10,in Building4,Flat,1.25 Crore,"DHA Defence, Karachi, Sindh",3,100 Sq. Yd.,For Sale,2,12 hours ago,"https://media.zameen.com/thumbnails/223051975-800x600.jpeg,https://media.zameen.com/thumbnails/223051975-800x600.jpeg,https://media.zameen.com/thumbnails/223051979-800x600.jpeg,https://media.zameen.com/thumbnails/223052029-800x600.jpeg"
https://www.zameen.com/Property/malir_saima_elite_villas_fair_priced_prime_location_120_square_yards_house_available_in_saima_elite_villas-44948120-10096-1.html,44948120,Fair-Priced Prime Location 120 Square Yards House Available In Saima Elite Villas,"Saima Elite Villas, Malir, Karachi, Sindh",,,House,2.3 Crore,"Malir, Karachi, Sindh",-,120 Sq. Yd.,For Sale,-,10 hours ago,"https://media.zameen.com/thumbnails/215092656-800x600.jpeg,https://media.zameen.com/thumbnails/215092656-800x600.jpeg,https://media.zameen.com/thumbnails/215092671-800x600.jpeg,https://media.zameen.com/thumbnails/215092672-800x600.jpeg,https://img.youtube.com/vi/KMqyAMSvbWg/sddefault.jpg,https://img.youtube.com/vi/KMqyAMSvbWg/default.jpg"
https://www.zameen.com/Property/bahria_paradise_bahria_paradise_precinct_51_500_square_yards_house_up_for_sale_in_bahria_town_karachi_precinct_51_paradise_villa-45615531-12070-1.html,45615531,500 Square Yards House Up For Sale In Bahria Town Karachi Precinct 51 ( Paradise Villa,"Bahria Paradise - Precinct 51, Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",,,House,5.2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,500 Sq. Yd.,For Sale,4,11 hours ago,"https://media.zameen.com/thumbnails/220661539-800x600.jpeg,https://media.zameen.com/thumbnails/220661539-800x600.jpeg,https://media.zameen.com/thumbnails/220661549-800x600.jpeg,https://media.zameen.com/thumbnails/220661550-800x600.jpeg"
https://www.zameen.com/Property/karachi_frere_town_metro_sky_tower-45656486-224-1.html,45656486,Metro Sky Tower,"Frere Town, Karachi, Sindh",,in Building,Flat,5.75 Crore,"Frere Town, Karachi, Sindh",4,244 Sq. Yd.,For Sale,3,12 hours ago,"https://media.zameen.com/thumbnails/221052231-800x600.jpeg,https://media.zameen.com/thumbnails/221052231-800x600.jpeg,https://media.zameen.com/thumbnails/221052232-800x600.jpeg,https://media.zameen.com/thumbnails/221052235-800x600.jpeg"
https://www.zameen.com/Property/karachi_bath_island_apartment_sale_bathisland-45746205-198-1.html,45746205,Apartment Sale Bathisland,"Bath Island, Karachi, Sindh",,in Building,Flat,3 Crore,"Bath Island, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,12 hours ago,"https://media.zameen.com/thumbnails/221860611-800x600.jpeg,https://media.zameen.com/thumbnails/221860611-800x600.jpeg,https://media.zameen.com/thumbnails/221860621-800x600.jpeg,https://media.zameen.com/thumbnails/221860622-800x600.jpeg"
https://www.zameen.com/Property/malir_saima_jinnah_avenue_saima_jinnah_avenue_flat_for_sale_best_for_living_and_best_for_investment-44740644-13172-1.html,44740644,Saima Jinnah Avenue Flat For Sale Best For Living And Best For Investment,"Saima Jinnah Avenue, Malir, Karachi, Sindh",2018,in Building11,Flat,3.2 Crore,"Malir, Karachi, Sindh",4,244 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/212937807-800x600.jpeg,https://media.zameen.com/thumbnails/212937807-800x600.jpeg,https://media.zameen.com/thumbnails/212937808-800x600.jpeg,https://media.zameen.com/thumbnails/212937822-800x600.jpeg"
https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_12_ali_block_ready_villa_west_open_near_to_park_best_location_for_sale-45275284-10022-1.html,45275284,Ali Block Ready Villa West Open Near To Park Best Location For Sale,"Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",2022,,House,1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",5,125 Sq. Yd.,For Sale,4,11 hours ago,"https://media.zameen.com/thumbnails/217753460-800x600.jpeg,https://media.zameen.com/thumbnails/217753460-800x600.jpeg,https://media.zameen.com/thumbnails/217753469-800x600.jpeg,https://media.zameen.com/thumbnails/217753470-800x600.jpeg"
https://www.zameen.com/Property/gulshan_e_maymar_gulshan_e_maymar_sector_r_sector_r1_120_square_yard_house_for_sale-45600583-6754-1.html,45600583,Sector R1 120 Square Yard House For Sale,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh",,,House,2.3 Crore,"Gadap Town, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,3 days ago,"https://media.zameen.com/thumbnails/220510558-800x600.jpeg,https://media.zameen.com/thumbnails/220510558-800x600.jpeg,https://media.zameen.com/thumbnails/220510559-800x600.jpeg,https://media.zameen.com/thumbnails/220510908-800x600.jpeg,https://img.youtube.com/vi/XnQ7urw-bYE/sddefault.jpg,https://img.youtube.com/vi/XnQ7urw-bYE/default.jpg"
